id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
106700835,2022-02-13 15:54:10,2022-02-13,2022-02-13 20:54:10 UTC,Eastern Time (US & Canada),5104290,iqcreaturehero786,Ishaaq Hussain,2022-02-13 20:55:00 UTC,2022-03-12 20:08:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/106700835,https://inaturalist-open-data.s3.amazonaws.com/photos/179301057/medium.jpeg,,"",,2,0,false,2,"John Garland Blvd at Mosque Cres North Side, Toronto, ON M9V 1N8, Canada",43.7331107997,-79.5924459,,,,,,,open,false,gps,gps,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
106874887,2022/02/16,2022-02-16,,Eastern Time (US & Canada),1156638,alankwok,"Alan Kwok (King Lun), Ada Tai (Ah Heung)",2022-02-16 20:09:25 UTC,2022-02-17 11:34:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/106874887,https://inaturalist-open-data.s3.amazonaws.com/photos/179636221/medium.jpeg,,"",,2,0,false,,West Highland Creek 02,43.7605585908,-79.2584241114,3281,,,,3281,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107035320,2022/02/18 5:29 PM UTC,2022-02-18,2022-02-18 17:29:00 UTC,UTC,2412065,jmass,"",2022-02-19 13:58:01 UTC,2022-02-19 14:13:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107035320,https://inaturalist-open-data.s3.amazonaws.com/photos/179939428/medium.jpeg,,"",,2,0,false,,"Old Toronto, Toronto, ON, Canada",43.6340039526,-79.3223696216,1145,,,,1145,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107152332,2022-02-20 15:58:03,2022-02-20,2022-02-20 19:58:03 UTC,Atlantic Time (Canada),1722997,kentross,Kent Ross,2022-02-21 01:21:15 UTC,2022-02-22 12:20:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107152332,https://inaturalist-open-data.s3.amazonaws.com/photos/180160773/medium.jpeg,,"",,2,0,false,2,"Toronto, ON M3K 2C1, Canada",43.7532055556,-79.4795194444,,,,,,,open,false,gps,gps,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107280801,Tue Feb 22 2022 15:09:03 GMT-0500 (EST),2022-02-22,2022-02-22 20:09:03 UTC,Eastern Time (US & Canada),1924445,michaelnaumoff,Michael Naumoff,2022-02-22 22:42:32 UTC,2022-03-01 22:26:35 UTC,research,CC-BY,https://www.inaturalist.org/observations/107280801,https://inaturalist-open-data.s3.amazonaws.com/photos/180402378/medium.jpg,,"","",3,0,false,3,"University of Guelph-Humber, Toronto, ON, CA",43.7274033333,-79.6058883333,32,,,,32,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107330783,2022-02-22 13:18:50,2022-02-22,2022-02-22 18:18:50 UTC,Eastern Time (US & Canada),7458,peterkikic,Peter Kikic,2022-02-23 19:50:49 UTC,2022-03-15 02:20:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/107330783,https://static.inaturalist.org/photos/180495159/medium.jpeg,,"",,2,0,false,2,"Toronto, ON M1B 5K7, Canada",43.824255,-79.1820699722,,,,,,,open,false,gps,gps,Toronto,Bernache du Canada,Branta canadensis,Canada Goose,Aves,7089
107355602,2022/02/21 5:39 PM EST,2022-02-21,2022-02-21 22:39:00 UTC,Eastern Time (US & Canada),5158703,sfreeman7,,2022-02-24 03:49:38 UTC,2022-03-11 14:06:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107355602,https://inaturalist-open-data.s3.amazonaws.com/photos/180540398/medium.jpeg,,"",5 in the river and 2 about to land,4,0,false,,"Rockcliffe - Smythe, Toronto, ON, Canada",43.6666954332,-79.514119624,122,,,,122,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107355972,2022/02/20 6:29 PM EST,2022-02-20,2022-02-20 23:29:00 UTC,Eastern Time (US & Canada),5158703,sfreeman7,,2022-02-24 04:00:03 UTC,2022-03-11 14:06:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107355972,https://inaturalist-open-data.s3.amazonaws.com/photos/180541469/medium.jpeg,,"",,5,0,false,,"Rockcliffe - Smythe, Toronto, ON, Canada",43.6666954332,-79.514119624,122,,,,122,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107400630,2022/02/24 2:49 PM EST,2022-02-24,2022-02-24 19:49:00 UTC,Eastern Time (US & Canada),798392,yryzhik,Yulia Ryzhik,2022-02-25 01:00:37 UTC,2022-02-25 12:25:31 UTC,research,,https://www.inaturalist.org/observations/107400630,https://static.inaturalist.org/photos/180626312/medium.jpeg,,"",,4,0,false,,"Old Toronto, Toronto, ON, Canada",43.625382594,-79.3289652751,244,,,,244,,open,false,,,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
107448351,2022-02-18 4:02:56 PM EST,2022-02-18,2022-02-18 21:02:56 UTC,Eastern Time (US & Canada),3349523,fionax,Fiona X.,2022-02-26 01:10:48 UTC,2022-02-26 13:07:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107448351,https://inaturalist-open-data.s3.amazonaws.com/photos/180718381/medium.jpeg,,"",,1,0,false,2,Bluffers Park,43.7096724572,-79.2331204936,185,,,,185,,open,false,gps,gps,Toronto,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
